frameTime,meanFrameTumorCells,sdFrameTumorCells,meanNecrotic,sdNecrotic,meanQuiescent,sdQuiescent,meanProliferative2,sdProliferative2,meanHypoxic,sdHypoxic,meanApoptotic,sdApoptotic,meanProliferative1,sdProliferative1,meanNormoxic,sdNormoxic,meanMigrate,sdMigrate,meanKilled,sdKilled
252,112.9,15.9405,13.6,2.67499,71.8,9.86351,10.1,2.64365,0.5,0.849837,0.5,0.527046,16.4,8.83428,474.4,8.18128,0,0,0,0
253,114,15.0037,14.1,2.88483,71.7,10.4142,10.1,2.88483,0.5,0.849837,0.6,0.516398,17,7.84573,473.9,8.26573,0,0,0,0
254,114.3,14.8776,14.6,3.43835,71.5,11.6261,10.9,3.21282,0.6,0.966092,0.7,0.823273,16,7.18022,473.4,8.15407,0,0,0,0
255,115.7,14.9224,15.2,2.97396,71.8,12.4971,10.4,2.79682,0.6,0.516398,0.9,0.875595,16.8,5.43241,473.1,8.14385,0,0,0,0
256,116.9,14.9477,15.8,2.65832,71.8,12.9254,10.5,2.4608,0.1,0.316228,0.9,0.994429,17.8,4.46716,472.2,8.37722,0,0,0,0
257,118,15.0997,15.9,2.55821,70.6,13.3517,11.5,2.95334,0.2,0.421637,1,1.1547,18.8,4.34102,471.3,8.38053,0,0,0,0
258,119.1,14.7154,16.1,2.80674,69.9,13.4449,12.2,3.35989,0.4,0.516398,1,1.1547,19.5,5.31769,470.4,8.74579,0,0,0,0
259,120.3,15571,16.5,2.71825,70.4,12474,12.2,3.61478,0.3,0.674949,1,1.24722,19.9,3.47851,470.2,8.79141,0,0,0,0
260,121.1,15.4521,16.8,3.11983,70.4,13.1842,12.8,3.55278,0.5,0.527046,1,1.24722,19.6,4.90351,469.5,8.19553,0,0,0,0
261,122.4,15.4503,17.3,3093,71.5,12.1312,12.4,4.45222,0.4,0.966092,1.1,0.994429,19.7,5.07828,468.6,8.59199,0,0,0,0
262,123.4,15.2403,17.7,3.36815,72.3,9.96717,12.6,5.01553,0.1,0.316228,1,0.816497,19.7,5.45792,468,8.7178,0,0,0,0
263,124.5,15.4074,17.8,3.55278,71.6,9.89051,12.4,5.37897,0.3,0.483046,0.9,0.875595,21.5,5.98609,467.2,9.0652,0,0,0,0
264,125.2,15.5192,18.1,3.54181,71.9,9.17061,12.8,5.97774,1,1.56347,0.8,0.632456,20.6,5.48128,466.3,9.33393,0,0,0,0
265,126.4,16.1741,19.1,4.04008,72.6,8.6564,12.1,5.40473,1.1,1.37032,0.7,0.674949,20.8,5.09466,465.5,9.30054,0,0,0,0
266,128.4,16.0568,20.2,4.18463,73.3,8.71844,11,4.89898,0.4,0.516398,0.7,0.823273,22.8,6.12463,464.8,9.73881,0,0,0,0
267,130.2,16.6653,20.6,3.97772,74.1,8.67243,10.4,4.74225,0.2,0.421637,0.7,0.823273,24.2,6.95701,463.9,10.2247,0,0,0,0
268,131.4,17.3025,20.8,4.26354,75.5,9.31248,10.1,3.81372,0.1,0.316228,0.7,0.823273,24.2,7.45058,463.2,10.4009,0,0,0,0
269,132.8,17.5929,20.9,4.28045,76.2,9.35474,9.5,3.02765,0.1,0.316228,0.7,0.823273,25.4,7.24492,462.2,10.2827,0,0,0,0
270,133.7,18276,21,4.16333,76.7,10089,9.6,3.40588,1.1,1.19722,0.5,0.707107,24.8,8.90443,461.6,10627,0,0,0,0
271,135,18.9268,22.1,4.09471,77.3,9.48742,9.6,2.83627,0.3,0.483046,0.5,0.707107,25.2,10.0311,461.2,10.9524,0,0,0,0
272,136,19362,22.4,4.11501,78.3,10.2095,9.4,2.54733,0.6,1.07497,0.6,0.699206,24.7,10.5415,460.6,11.1475,0,0,0,0
273,137.2,19.7304,23,4.49691,77.9,10005,9.4,1.57762,0.9,0.737865,0.7,0.483046,25.3,11.2354,460,11.2349,0,0,0,0
274,137.8,19.3092,23.9,5.08702,78.4,9.59398,10.1,2079,0.7,1.25167,0.9,0.567646,23.8,10.2285,459.4,10.9666,0,0,0,0
275,138.7,19.1256,24.6,5.83476,80.7,9.32202,10.5,2.4608,0.4,0.516398,0.8,0.632456,21.7,9.33393,458.9,11.1699,0,0,0,0
276,139.9,19.3933,25,5.90668,82.4,9.5359,10.6,2.91357,0.5,0.527046,0.8,0.632456,20.6,9.25203,458.7,10.9245,0,0,0,0
277,140.8,18855,25.5,6.09645,83.4,9.61711,10.9,3.60401,0.4,0.516398,0.6,0.516398,20,7.4087,458,10.7186,0,0,0,0
278,141.6,18.5544,25.9,6.15449,83.9,8.35929,12.2,4.54117,0.1,0.316228,0.7,0.674949,18.8,5.88407,456.9,10.9894,0,0,0,0
279,142.7,19.0791,26,6.25389,83.7,9.60382,13,4.39697,0.4,0.699206,0.7,0.674949,18.9,6.53962,455.8,10.9524,0,0,0,0
280,144,19.2412,26.4,6.14998,84.1,10.8367,13.3,5.22919,0.3,0.483046,1,0.666667,18.9,5.50656,454.4,11.9276,0,0,0,0
